5,lift ,
6,small spray ,
8,heat lot ,
10,group ,A unit of count defining the number of groups (group: set of items classified together). 
11,outfit ,A unit of count defining the number of outfits (outfit: a complete set of equipment / materials / ob
13,ration ,A unit of count defining the number of rations (ration: a single portion of provisions). 
14,shot ,"A unit of liquid measure, especially related to spirits. "
15,"stick, military ",A unit of count defining the number of military sticks (military stick: bombs or paratroops released
16,hundred fifteen kg drum ,
17,hundred lb drum ,
18,fiftyfive gallon (US) drum ,
19,tank truck ,
20,twenty foot container ,A unit of count defining the number of shipping containers that measure 20 foot in length. 
21,forty foot container ,A unit of count defining the number of shipping containers that measure 40 foot in length. 
22,decilitre per gram ,
23,gram per cubic centimetre ,
24,theoretical pound ,A unit of mass defining the expected mass of material expressed as the number of pounds. 
25,gram per square centimetre ,
26,actual ton ,
27,theoretical ton ,"A unit of mass defining the expected mass of material, expressed as the number of tons. "
28,kilogram per square metre ,
29,pound per thousand square foot ,
30,horse power day per air dry metric ton ,
31,catch weight ,
32,kilogram per air dry metric ton ,
33,kilopascal square metre per gram ,
34,kilopascal per millimetre ,
35,millilitre per square centimetre second ,
36,cubic foot per minute per square foot Conversion factor required ,
37,ounce per square foot ,
38,"ounce per square foot per 0,01inch ",
40,millilitre per second ,
41,millilitre per minute ,
43,super bulk bag ," Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet). "
44,fivehundred kg bulk bag ,
45,threehundred kg bulk bag ,
46,fifty lb bulk bag ,
47,fifty lb bag ,
48,bulk car load ,
53,theoretical kilogram ,
54,theoretical tonne ,
56,sitas ,A unit of area for tin plate equal to a surface area of 100 square metres. 
57,mesh ,A unit of count defining the number of strands per inch as a measure of the fineness of a woven prod
58,net kilogram ,A unit of mass defining the total number of kilograms after deductions. 
59,part per million ,A unit of proportion equal to 10??. 
60,percent weight ,A unit of proportion equal to 10?². 
61,part per billion (US) ,A unit of proportion equal to 10??. 
62,percent per 1000 hour ,
63,failure rate in time ,
64,"pound per square inch, gauge ",
66,oersted ,
69,test specific scale ,
71,volt ampere per pound ,
72,watt per pound ,
73,ampere tum per centimetre ,
74,millipascal ,
76,gauss ,
77,milli-inch ,
78,kilogauss ,
80,pound per square inch absolute ,
81,henry ,
84,kilopound-force per square inch ,A unit of pressure defining the number of kilopounds force per square inch. Use kip per square inch 
85,foot pound-force ,
87,pound per cubic foot ,
89,poise ,
90,Saybold universal second ,
91,stokes ,
92,calorie per cubic centimetre ,
93,calorie per gram Use International Table (IT) calorie per gram (common code D75). ,
94,curl unit ,
95,twenty thousand gallon (US) tankcar ,
96,ten thousand gallon (US) tankcar ,
97,ten kg drum ,
98,fifteen kg drum ,
1A,car mile ,
1B,car count ,
1C,locomotive count ,
1D,caboose count ,
1E,empty car ,
1F,train mile ,
1G,fuel usage gallon (US) ,
1H,caboose mile ,
1I,fixed rate ,A unit of quantity expressed as a predetermined or set rate for usage of a facility or service. 
1J,ton mile ,
1K,locomotive mile ,
1L,total car count ,
1M,total car mile ,
1X,quarter mile ,
2A,radian per second Refer ISO/TC12 SI Guide ,
2B,radian per second squared Refer ISO/TC12 SI Guide ,
2C,roentgen ,
2G,volt AC ,A unit of electric potential in relation to alternating current (AC). 
2H,volt DC ,A unit of electric potential in relation to direct current (DC). 
2I,British thermal unit (international table) per hour ,
2J,cubic centimetre per second ,
2K,cubic foot per hour ,
2L,cubic foot per minute ,
2M,centimetre per second ,
2N,decibel ,
2P,kilobyte ,A unit of information equal to 10³ (1000) bytes. 
2Q,kilobecquerel ,
2R,kilocurie ,
2U,megagram ,
2V,megagram per hour ,
2W,bin ," Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet). "
2X,metre per minute ,
2Y,milliroentgen ,
2Z,millivolt ,
3B,megajoule ,
3C,manmonth ,A unit of count defining the number of months for a person or persons to perform an undertaking. 
3E,pound per pound of product ,
3G,pound per piece of product ,
3H,kilogram per kilogram of product ,
3I,kilogram per piece of product ,
4A,bobbin ," Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet). "
4B,cap ,
4C,centistokes ,
4E,twenty pack ,
4G,microlitre ,
4H,micrometre (micron) ,
4K,milliampere ,
4L,megabyte ,A unit of information equal to 10? (1000000) bytes. 
4M,milligram per hour ,
4N,megabecquerel ,
4O,microfarad ,
4P,newton per metre ,
4Q,ounce inch ,
4R,ounce foot ,
4T,picofarad ,
4U,pound per hour ,
4W,ton (US) per hour ,
4X,kilolitre per hour ,
5A,barrel (US) per minute ,
5B,batch ,A unit of count defining the number of batches (batch: quantity of material produced in one operatio
5C,gallon(US) per thousand ,
5E,MMSCF/day ,A unit of volume equal to one million (1000000) cubic feet of gas per day. 
5F,pound per thousand ,
5G,pump ,
5H,stage ,
5I,standard cubic foot Use standard (common code WSD) ,
5J,hydraulic horse power ,A unit of power defining the hydraulic horse power delivered by a fluid pump depending on the viscos
5K,count per minute ,
5P,seismic level ,
5Q,seismic line ,
A1,15 °C calorie ,
A10,ampere square metre per joule second ,
A11,angstrom ,
A12,astronomical unit ,
A13,attojoule ,
A14,barn ,
A15,barn per electronvolt ,
A16,barn per steradian electronvolt ,
A17,barn per steradian ,
A18,becquerel per kilogram ,
A19,becquerel per cubic metre ,
A2,ampere per centimetre ,
A20,British thermal unit (international table) per second square foot degree Rankine ,
A21,British thermal unit (international table) per pound degree Rankine ,
